1962 "Obs 1" nan nan 0.32 0.55 0.93 1.7 3.03 5.03 6.55 7.7 9.27 10.56 12.72 13.48
1963 "Obs 1" nan nan 0.32 0.61 0.96 1.73 3.04 4.96 6.44 7.91 9.62 11.31 12.74 13.19
1964 "Obs 1" nan nan 0.33 0.55 0.95 1.86 3.25 4.97 6.41 8.07 9.34 10.16 12.89 13.25
1965 "Obs 1" nan nan 0.38 0.68 1.03 1.49 2.41 3.52 5.73 7.54 8.47 11.17 13.72 13.46
1966 "Obs 1" nan nan 0.44 0.74 1.18 1.78 2.46 3.82 5.36 7.27 8.63 10.66 14.15 14
1967 "Obs 1" nan nan 0.29 0.81 1.35 2.04 2.81 3.48 4.89 7.11 9.03 10.59 13.83 14.15
1968 "Obs 1" nan nan 0.33 0.7 1.48 2.12 3.14 4.21 5.27 6.65 9.01 9.66 14.85 16.3
1969 "Obs 1" nan nan 0.44 0.79 1.23 2.03 2.9 3.81 5.02 6.43 8.33 10.71 14.21 15
1970 "Obs 1" nan nan 0.37 0.91 1.34 2 3 4.15 5.59 7.6 8.97 10.99 14.07 14.61
1971 "Obs 1" nan nan 0.45 0.88 1.38 2.16 3.07 4.22 5.81 7.13 8.62 10.83 12.94 14.25
1972 "Obs 1" nan nan 0.38 0.77 1.43 2.12 3.23 4.38 5.83 7.62 9.52 12.09 13.67 13.85
1973 "Obs 1" nan nan 0.38 0.91 1.54 2.26 3.29 4.61 6.57 8.37 10.54 11.62 13.9 14
1974 "Obs 1" nan nan 0.32 0.66 1.17 2.22 3.21 4.39 5.52 7.86 9.82 11.41 13.24 13.7
1975 "Obs 1" nan nan 0.41 0.64 1.11 1.9 2.95 4.37 5.74 8.77 9.92 11.81 13.11 14
1976 "Obs 1" nan nan 0.35 0.73 1.19 2.01 2.76 4.22 5.88 9.3 10.28 11.86 13.54 14.31
1977 "Obs 1" nan nan 0.49 0.9 1.43 2.05 3.3 4.56 6.46 8.63 9.93 10.9 13.67 14.26
1978 "Obs 1" nan nan 0.49 0.81 1.45 2.15 3.04 4.46 6.54 7.98 10.15 10.85 13.18 14
1979 "Obs 1" nan nan 0.35 0.7 1.24 2.14 3.15 4.29 6.58 8.61 9.22 10.89 14.34 14.5
1980 "Obs 1" nan nan 0.27 0.56 1.02 1.72 3.02 4.2 5.84 7.26 8.84 9.28 14.45 15
1981 "Obs 1" nan nan 0.49 0.98 1.44 2.09 2.98 4.85 6.57 9.16 10.82 10.77 13.93 15
1982 "Obs 1" nan nan 0.37 0.66 1.35 1.99 2.93 4.24 6.46 8.51 12.24 10.78 14.04 15
1983 "Obs 1" nan nan 0.37 0.92 1.6 2.44 3.82 4.76 6.17 7.7 9.25 12.62 14.54 16.47
1983 "Obs 3" nan 0.41 0.82 1.32 2.05 2.82 3.94 5.53 7.7 9.17 11.46 16.59 16.42 16.96
1984 "Obs 1" nan nan 0.42 1.16 1.81 2.79 3.78 4.57 6.17 7.7 9.25   
1984 "Obs 2" 0.09 0.25 0.75 1.19 2.23 3.42 5.03 6.48 9.5     
1984 "Obs 3" nan 1.16 1.47 1.97 2.53 3.13 3.82 4.81 5.95 7.19 7.86 8.46 7.99 9.78
1985 "Obs 1" nan nan 0.41 0.88 1.6 2.81 4.06 5.83 7.68 10.12 14.29   
1985 "Obs 2" 0.08 0.24 0.76 1.3 19.22 3.35 5.09 7.36 6.83 11.17    
1985 "Obs 3" nan 0.34 0.99 1.43 2.14 3.27 4.68 6.05 7.73 9.86 11.87 14.16 14.17 13.52
1985 "Obs 4" nan nan   2 3.42 4.61 6.67 8.89 10.73 14.29   
1986 "Obs 1" nan nan 0.31 0.88 1.47 2.47 3.92 5.81 6.58 6.83 11   
1986 "Obs 2" 0.06 0.19 0.51 1.12 1.94 2.95 4.94 7.41 9.3     
1986 "Obs 3" nan 0.3 0.67 1.34 2.04 3.14 4.6 5.78 6.7 7.52 9.74 10.68 12.86 9.59
1986 "Obs 4" nan nan   2.22 3.22 4.74 6.4 5.8  10.84   
1987 "Obs 1" nan nan 0.21 0.5 1.25 2.05 3.43 5.14 6.52 9.3 13.15   
1987 "Obs 2" 0.05 0.18 0.32 0.67 1.69 2.69 3.96 8.35 10.58 13.11    
1987 "Obs 3" nan 0.24 0.48 0.88 1.66 2.72 4.35 6.21 8.78 9.78 12.5 13.75 15.12 10.43
1987 "Obs 4" nan nan   1.44 1.94 3.61 5.4 5.64  13.15   
1988 "Obs 1" nan nan 0.21 0.4 0.79 1.9 2.98 4.39 7.81 12.11 13.11   
1988 "Obs 2" 0.08 0.22 0.44 0.79 1.37 2.61 4.46 5.82      
1988 "Obs 3" nan 0.36 0.56 0.83 1.31 2.34 3.84 6.5 8.76 9.97 11.06 14.43 19.02 12.89
1988 "Obs 4" nan nan   1.46 2.82 3.39 6.63 7.27 13.64    
1989 "Obs 1" nan nan 0.3 0.52 0.87 1.48 2.69 4.63 7.05 9.98 9.25   
1989 "Obs 2" 0.07 0.22 0.4 0.93 1.43 2.2 3.13 4.65 6.8 8.96    
1989 "Obs 3" nan 0.53 0.75 0.9 1.17 1.95 3.2 4.88 7.82 9.4 11.52 11.47  19.47
1989 "Obs 4" nan nan   1.3 1.77 2.89 4.74 8.28 9.98    
1990 "Obs 1" nan nan 0.4 0.7 1.18 1.72 2.46 3.56 4.71 7.8 8.96   
1990 "Obs 2" 0.11 0.23 0.91 1.42 2.09 2.9 4.13 6.36 10.08 13.54    
1990 "Obs 3" nan 0.4 0.81 1.22 1.59 2.14 3.29 4.99 7.83 10.54 14.21 17.63 7.97 14.64
1990 "Obs 4" nan nan   1.54 2.32 2.55 3.78 4.77 8.8    
1991 "Obs 1" nan nan 0.52 1.14 1.74 2.43 3.21 4.54 6.88 10.72 9.44   
1991 "Obs 2" 0.09 0.26 0.74 1.63 2.62 3.82 4.97 7.2 11.16 15.35    
1991 "Obs 3" nan 0.63 1.37 1.77 2.31 3.01 3.68 4.63 6.06 8.98 12.89 17  14.17
1991 "Obs 4" nan nan   2.21 2.52 3.51 5.18 7.4 11.36 5.35   
1992 "Obs 1" nan nan 0.44 0.93 1.81 2.72 3.9 5.18 6.77 9.6 12.43   
1992 "Obs 2" 0.08 0.27 1.16 1.9 2.97 4.38 5.6 7.32 9.45 12.41    
1992 "Obs 3" nan 0.41 1.1 1.79 2.45 3.22 4.33 5.27 6.21 8.1 10.51 11.59  15.81
1992 "Obs 4" nan nan   2.56 2.85 3.99 5.43 6.35 8.03 9.5   
1993 "Obs 1" nan nan 0.34 1.17 1.82 2.82 4.03 5.5 6.76 8.57 10.85   
1993 "Obs 2" 0.05 0.21 0.72 1.28 2.29 3.51 4.9 6.62 7.34 8.49    
1993 "Obs 3" nan 0.3 0.83 1.7 2.41 3.35 4.27 5.45 6.28 7.1 7.82 10.1 16.03 19.51
1993 "Obs 4" nan nan   1.79 2.58 3.55 5.31 6.21 7.69 9.28   
1994 "Obs 1" nan nan 0.24 0.75 1.42 2.41 3.82 5.42 6.63 7.63 8.11   
1994 "Obs 2" 0.07 0.15 0.32 0.92 1.67 2.88 4.5 6.52 8.21 9.81    
1994 "Obs 3" nan 0.3 0.82 1.37 2.23 3.35 4.27 5.56 6.86 7.45 7.98 9.53 12.16 11.45
1994 "Obs 4" nan nan   2.31 3.27 5.06 6.39 6.64 7.92 7.73   
1995 "Obs 1" nan nan 0.2 0.48 1.14 2.12 3.47 4.94 7.16 9.12 10.1   
1995 "Obs 2" 0.06 0.18 0.34 0.86 1.99 3.3 5.43 7.61 9.79 10.76    
1995 "Obs 3" nan 0.44 0.78 1.26 1.87 2.8 4.12 5.15 5.96 7.9 8.67 9.2 11.53 17.77
1995 "Obs 4" nan nan   2.2 3.24 4.83 5.98 7.8 10.03 10.39   
1996 "Obs 1" nan nan 0.2 0.49 0.97 2.05 3.53 5.5 7.77 10.16 10.67   
1996 "Obs 2" 0.06 0.19 0.44 1.03 1.83 3.33 5 8.2 10.9 11.36    
1996 "Obs 3" nan 0.29 0.9 1.15 1.67 2.58 4.08 6.04 6.62 7.96 9.36 10.55 11.41 9.51
1996 "Obs 4" nan nan   2.22 2.75 4.11 5.63 7.92 10.53 10.58   
1997 "Obs 1" nan nan 0.2 0.52 1.08 1.88 3.37 5.26 8.93 12.15 11.2   
1997 "Obs 2" 0.05 0.2 0.49 1.18 2.14 3.22 4.8 6.92 10.82 12.43    
1997 "Obs 3" nan 0.35 0.78 1.14 1.56 2.25 3.48 5.35 7.38 7.55 8.3 11.15 8.64 12.8
1997 "Obs 4" nan nan   2.42 2.92 3.86 5.71 9.65 13.41    
1998 "Obs 1" nan nan 0.22 0.53 1.16 1.94 2.94 4.57 7.42 10.37 11.74   
1998 "Obs 2" 0.06 0.19 0.44 1.19 2.05 3.1 4.76 7.04 11.21 12.59    
1998 "Obs 3" nan 0.38 0.68 1.03 1.64 2.23 3.24 4.85 6.88 9.18 9.84 15.78 14.37 13.77
1998 "Obs 4" nan nan   1.88 2.09 2.98 5.85 7.92 9.91 11.05   
1999 "Obs 1" nan nan 0.2 0.52 1.17 2.03 3.03 4.46 6.48 10.27 10.88   
1999 "Obs 2" 0.06 0.18 0.37 1.21 1.92 3.06 4.38 6.13 7.84 11.54    
1999 "Obs 3" nan 0.46 0.88 1.16 1.65 2.4 3.12 4.26 6 6.52 10.64 14.05 12.67 9.2
1999 "Obs 4" nan nan   1.51 2.8 2.96 4.22 5.92 9.33 9.17   
2000 "Obs 1" nan nan 0.19 0.46 1.21 1.97 3.05 4.1 5.72 7.46 9.58   
2000 "Obs 2" 0.07 0.23 0.38 1.1 2.13 3.34 5.05 6.56 8.5 12.35    
2000 "Obs 3" nan 0.31 0.65 1.23 1.8 2.54 3.58 4.49 5.71 7.54 7.86 12.71 14.71 15.4
2000 "Obs 4" nan nan   1.71 2.5 3.16 3.85 5.32 7.07 7.62   
2001 "Obs 1" nan nan 0.28 0.52 1.2 2.24 3.31 5.12 6.38 9.24 11.32   
2001 "Obs 3" nan 0.3 0.77 1.18 1.83 2.75 3.64 4.88 5.93 7.43 8.9 10.22 11.11 13.03
2001 "Obs 4" nan nan   1.9 2.72 3.49 6.23 6.82 10.95 10.29   
2002 "Obs 1" nan nan 0.25 0.6 1.19 2.14 3.33 4.77 6.86 9.33 10.19   
2002 "Obs 2" 0.06 0.23 0.5 1.3 1.96 3.27 5.32 7.25 9.2 11.39    
2002 "Obs 3" nan 0.31 0.9 1.4 1.9 2.6 3.55 4.6 5.8 7.4 9.56 8.71 12.92 8.42
2002 "Obs 4" nan nan   1.87 2.57 3.52 4.71 6.18 10.56 8.7   
2003 "Obs 1" nan nan 0.23 0.54 1.31 2.01 3.24 4.97 6.74 8.71 15.03   
2003 "Obs 2" 0.05 0.2 0.49 0.97 1.99 2.95 4.39 6.64 9.32 11.08    
2003 "Obs 3" nan 0.55 0.88 1.39 2.01 2.63 3.59 4.83 5.57 7.26 9.36 9.52 9.52 10.68
2003 "Obs 4" nan nan   2.3 2.34 3.48 4.59 5.89 8.07 24.5   
2004 "Obs 1" nan nan 0.25 0.55 1.09 2.04 2.92 4.38 6.25 8.54 9.74   
2004 "Obs 2" 0.06 0.23 0.54 1.08 1.8 2.98 4.11 5.82 8.06 12.44    
2004 "Obs 3" nan 0.54 1.08 1.41 1.95 2.69 3.46 4.77 6.72 7.9 8.66 12.21 14.02 16.5
2004 "Obs 4" nan nan   1.74 2.3 3.02 4.5 5.77 7.81 9.95   
2005 "Obs 1" nan nan 0.23 0.62 1.12 1.93 3.05 3.96 5.81 8.29 13.44   
2005 "Obs 2" 0.06 0.22 0.52 1.03 1.91 3.04 4.62 6.58 9.11 12.01    
2005 "Obs 3" nan 0.58 0.92 1.38 1.86 2.61 3.54 4.57 6.41 8.24 9.89 11.04 14.08 11.81
2005 "Obs 4" nan nan   1.56 2.4 3.2 2.71 5.79 8.52 16.27   
2006 "Obs 1" nan nan 0.26 0.6 1.2 2.01 3.11 4.43 6.03 8.04 9.93   
2006 "Obs 2" 0.07 0.27 0.71 1.33 1.95 2.97 4.34 6.41 8.62 12.44    
2006 "Obs 3" nan 0.51 0.97 1.45 2.06 2.71 3.56 4.57 5.53 6.61 7.53 8.55 8.44 9.82
2006 "Obs 4" nan nan   1.54 2.35 3.44 4.19 5.43 6.57 6.19   
2007 "Obs 1" nan nan 0.26 0.7 1.34 2.12 3.17 4.64 6.5 9.12 11.78   
2007 "Obs 2" 0.1 0.25 0.67 1.34 2.28 3.14 4.69 6.18 8.57 10.01    
2007 "Obs 3" nan 0.53 1.07 1.7 2.37 3.26 4.36 5.45 6.71 8.08 8.56 9.75 11.72 12.72
2007 "Obs 4" nan nan   2.34 2.67 3.53 5.3 6.7 9.95 11.24   
2008 "Obs 1" nan nan 0.29 0.73 1.37 2.37 3.29 4.82 6.55 8.48 8.9   
2008 "Obs 2" 0.06 0.23 0.56 1.33 2.31 3.53 5 6.52 8.85 10.34 13.28 15.2  
2008 "Obs 3" nan 0.65 1.12 1.7 2.44 3.32 4.41 5.61 6.84 8.25 9.31 10.54 12.45 13.59
2008 "Obs 4" nan nan   2.21 2.97 3.63 4.88 6.74 8.18 7.7   
2009 "Obs 1" nan nan 0.26 0.64 1.34 2.36 3.76 5.11 6.55 9.1 9.43   
2009 "Obs 2" 0.05 0.21 0.5 1.12 2.02 3.09 4.88 6.59 8.09 10.26 11.47 13.27  
2009 "Obs 3" nan 0.56 0.98 1.47 2.1 2.83 3.9 5.06 5.76 7.31 7.79 7.81 10.68 11.83
2009 "Obs 4" nan nan   2.04 2.98 4.1 5.19 6.56 9.38 8.58   
2010 "Obs 1" nan nan 0.26 0.59 1.18 2.05 3.18 4.8 6.76 7.86 10.01   
2010 "Obs 2" 0.05 0.19 0.79 0.99 1.78 2.72 4.25 6.38 8.75 10.5 12.12 14.2  
2010 "Obs 3" nan 0.55 0.95 1.46 2.06 2.93 4.02 5.4 6.44 7.19 8.43 9.11 10.46 11.39
2010 "Obs 4" nan nan   1.91 2.28 3.6 4.7 7.03 7.11 9.09   
2011 "Obs 1" nan nan 0.22 0.59 1.09 1.92 2.78 4.32 6.5 8.49 10.02   
2011 "Obs 2" 0.06 0.21 0.49 1.04 1.69 2.83 4.31 6.7 8.98 11.56 12.92 15.69  
2011 "Obs 3" nan 0.53 1.09 1.5 2.06 2.85 3.7 5.01 6.26 7.33 8.34 9.87 13.23 
2011 "Obs 4" nan nan   1.61 2.29 2.89 4.51 6.79 8.3 9.46   
2012 "Obs 1" nan nan 0.21 0.56 1.11 1.76 2.78 4.06 6.12 8.72 11.68   
2012 "Obs 2" 0.06 0.24 0.56 1.09 1.88 2.69 3.97 5.93 8.49 11 13.38 14.83  
2012 "Obs 3" nan nan 0.83 1.32 1.92 2.65 3.52 4.71 6.34 8.11 9.92 11.31 13.45 15.75
2012 "Obs 4" nan nan   2.34 2.46 2.93 3.93 5.39 8.91 11.68   
2013 "Obs 1" nan nan 0.26 0.59 1.15 2.02 2.86 4.05 5.63 8.15 10.38   
2013 "Obs 2" 0.06 0.2 0.55 1.06 1.72 2.54 3.67 5.26 7.82 10.51 13.16 16.58  
2013 "Obs 3" nan 0.43 0.95 1.4 2 2.64 3.44 4.51 5.67 7.29 8.8 10.33 11.38 12.56
2013 "Obs 4" nan nan   2.49 3.04 3.51 4.43 5.54 7.56 10.25   
2014 "Obs 1" nan nan 0.22 0.59 1.15 1.83 2.84 3.83 5.14 6.95 9.02   
2014 "Obs 2" 0.06 0.22 0.51 1.08 1.85 2.73 3.99 5.42 7.48 10.1 14.16 18.4  
2014 "Obs 3" nan 0.59 1.07 1.55 2.15 2.8 3.7 4.57 5.78 6.97 8.35 9.46 10.99 12.28
2014 "Obs 4" nan nan   2 2.45 3.76 4.05 5.06 5.97 7.34   
2015 "Obs 1" nan nan 0.23 0.55 1.16 1.94 2.85 3.95 5.26 6.82 8.96   
2015 "Obs 2" 0.06 0.2 0.45 0.95 1.74 2.59 3.73 5.08 6.83 8.88 11.62 15.63  
2015 "Obs 3" nan 0.64 0.96 1.42 1.96 2.57 3.3 4.13 5.49 6.46 7.18 8.63 10.37 12.24
2015 "Obs 4" nan nan nan  2.14 2.66 3.44 3.91 5.06 6.27 7.89   
2016 "Obs 1" nan nan 0.23 0.53 1.04 1.8 2.71 3.96 5.54 7.07 8.65   
2016 "Obs 3" nan 0.59 0.96 1.46 1.99 2.71 3.57 4.56 5.78 6.82 8.08 9.33 10.01 11.68
2016 "Obs 4" nan nan nan  2.55 2.23 3.65 4.8 6.67 7.74 8.68   
2017 "Obs 1" nan nan 0.26 0.65 1.17 1.97 2.93 4.63 5.97 7.28 9.3   
2017 "Obs 2" 0.07 0.25 0.57 1.15 1.77 2.54 3.82 5.43 7.55 9.24 11.22 13.54  
2017 "Obs 3" nan 0.55 0.99 1.53 2.06 2.69 3.64 4.72 5.91 6.91 7.88 9.41 10.93 11.78
2017 "Obs 4" nan nan nan  1.96 2.48 2.94 4.8 5.74 7.12 8.16   
2018 "Obs 1" nan nan 0.28 0.63 1.21 1.94 2.74 4.04 5.7 7.48 9.41   
2018 "Obs 3" nan 0.62 1.05 1.51 2.11 2.8 3.48 4.54 5.8 6.97 7.64 9.11 10.29 11.35
2018 "Obs 4" nan nan nan  3.25 2.72 3.41 4.53 6.51 7.94 9.69   
2019 "Obs 1" nan nan 0.27 0.66 1.19 1.95 3.1 4.38 5.93 7.36 9.63   
2019 "Obs 4" nan nan nan  1.9 2.89 3.72 4.82 6.07 7.43 6.86   
