year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1987,0.05518433779383247,0.29353223325033595,0.8234534291150041,1.6710925096128872,2.551602895215604,3.3970466246589854,4.254259627797741,5.985857145309664,7.767397493369186,9.379319131560647,10.776612944269239,12.084994993151284,13.200579420319153,14.259539848689665
1988,0.045907040386981374,0.2707033049398413,0.7351660347671417,1.4644906657653958,2.420561706513859,3.3046044479469625,4.108759297555028,6.002713860168368,7.662554908760139,9.267636612534835,10.657181998683326,11.837986261083694,12.961205308780333,13.942628435179559
1989,0.05456793078935249,0.2700747071164279,0.747675341608547,1.4299612482766604,2.3034085695395383,3.307715959361024,4.16283756597103,6.1118654225233255,7.96932363843315,9.492754513655663,10.90178651543284,12.082429164001717,13.062285007258296,14.018782383882813
1990,0.09388253455374652,0.4001984368743634,0.9258723151677277,1.7101102649435298,2.606901797014638,3.6065202128086655,4.650794907467837,6.418241339987696,8.357830021235657,10.078993844652897,11.4269220774603,12.634420322428086,13.622238592044297,14.42773995324824
1991,0.07597978548885596,0.47279856559863825,1.0863055426202408,1.8554535325076096,2.810900694940004,3.7810244849879773,4.778589470463114,6.992547544644449,8.727284149305268,10.511492907607883,12.021425010940693,13.166949196248106,14.170321557291198,14.977199589704835
1992,0.08026726528798844,0.43515858197282054,1.227306566576992,2.0948896601076217,3.013687765517184,4.036562659369945,4.998578951403942,7.099385318271943,9.242544304918754,10.816586048585034,12.368174657487984,13.639672189613671,14.583249713126776,15.396725200303162
1993,0.06314624611972293,0.39623573930023503,1.073041905874659,2.133864989393242,3.1065996391181963,4.042000556160977,5.015914874042908,7.227334106985153,9.23503961616075,11.153247212956124,12.503203764662782,13.796032517008797,14.832040945433873,15.613673663557444
1994,0.05764068929524836,0.3315008709688642,0.9771696957917066,1.894171730842011,3.077524274098688,4.049477160828905,4.926673927843989,6.954420306639454,9.028551747303245,10.798156918587066,12.418575880692588,13.52682490754139,14.594211192283018,15.469395944817915
1995,0.06786844044489762,0.3435741740593945,0.9224063526291284,1.8496647490936102,2.9187324151716623,4.134264939360515,5.058562471950529,6.894375816503279,8.807737262732386,10.645936657795623,12.147633404874414,13.502487467604194,14.448516568116501,15.361489865116098
1996,0.08012573256020125,0.4097563838919194,1.0069366546293148,1.8745743537357666,2.998028266457781,4.134098738941534,5.319418334250464,7.069061689278394,8.805434122817239,10.513362452006444,12.084531407220444,13.329044468421664,14.474171837374728,15.285578409995265
1997,0.04394290250312775,0.326318340234674,0.8982431599556339,1.6623314597173302,2.600811127482264,3.7087637339110584,4.8096985892463815,7.109733511768309,8.728837116765073,10.255898726717707,11.70108521685992,13.017416591383618,14.086135244447954,15.088817034000073
1998,0.047413415906192656,0.24402422638102095,0.7988222417574274,1.574754023789716,2.4371967350580745,3.38455962550692,4.426609248555361,6.846785285170051,9.023204123563504,10.463882327655412,11.773465983495202,12.998085143776489,14.121004258728544,15.046064561336033
1999,0.03697616874465171,0.2206722137710002,0.599349122282377,1.3431995806600283,2.1945898748256543,3.041454235094105,3.9184679753355676,6.44356045350784,8.767311879594274,10.708481686315645,11.94073744556392,13.032360725708934,14.040158945556636,14.995686967177859
2000,0.07066870366967631,0.28183841674356835,0.734133363872815,1.358035563375454,2.3218398204948247,3.2706990190055927,4.134195388430175,6.2063479021658505,8.72436542570275,10.84723814363642,12.529755636020814,13.565382155429099,14.465264599052361,15.283126416436453
2001,0.06562320174307852,0.3769637814084633,0.8289916176703347,1.522053898801286,2.3068496981583655,3.366334338440764,4.316506915887581,6.428333178826438,8.494747591797239,10.806767307615956,12.646732786170789,14.053405305457392,14.900680284083093,15.633881107421022
2002,0.06179695275210989,0.3505201007888288,0.968688834952913,1.6177481260792579,2.455169198977786,3.300477407236657,4.349171056237887,6.40040486673814,8.455984193862445,10.327743083168864,12.31422658219731,13.873163316937953,15.064627040430162,15.791915113823462
2003,0.06615347180124159,0.3518088636815172,0.9475314770793055,1.8292946500286422,2.6018081394512014,3.498454279281287,4.337695745197309,6.664917806327311,8.688625892747364,10.57364461791637,12.206244942540913,13.874212132107026,15.146026442993609,16.099512932244973
2004,0.0698971003378449,0.37619538727581747,0.9712593076086783,1.8346891587854022,2.87952292486266,3.6982214475129704,4.584884907031543,6.558245230524886,8.835580275254303,10.674061159994237,12.30722713868275,13.674813682887963,15.035766673448398,16.062881323439946
2005,0.0864823543583644,0.4352363560990888,1.099980158837578,1.993580462875953,3.0534054962741024,4.183352281984711,5.004188444982763,6.9276561491883335,8.864166048385849,10.943322516091095,12.539170228034457,13.91033693465474,15.031012874408686,16.134731674041976
2006,0.09520658426078615,0.5110565646275348,1.2474375665480677,2.2296187772613725,3.3178506888233055,4.462700455110517,5.587788308484411,7.4344794697187195,9.299491374789948,11.062745792618895,12.866844478532181,14.203966933870914,15.325978337697016,16.227088546504437
2007,0.10345727119070233,0.5584194885490744,1.4118480168523568,2.472461888577521,3.64649917698675,4.806970289954734,5.938119060490954,8.037917157596926,9.796757793137076,11.477265234308122,13.00148663609989,14.51057970472341,15.601973847905528,16.502472506463494
